Name,Date of Birth,From,To,Flight Date,Flight Time,Booking Date,Class,Fare
Mrs. FG84 FS64,1975-04-22,Mumbai,Kolkata,2016-06-29,16:30,2016-06-07,Business,10922.38
Miss FG93 FS70,1986-09-03,Delhi,Patna,2016-11-08,17:30,2016-10-10,Economy,2726.22
Mrs. FG7 FS47,1976-05-20,Delhi,Patna,2016-05-03,09:30,2016-04-03,Economy,3439.1
Miss FG64 FS27,2002-07-04,Hyderabad,Lucknow,2016-06-20,17:40,2016-05-15,Economy,4238.0
Miss FG40 FS89,1982-12-21,Delhi,Chennai,2016-08-11,13:10,2016-06-29,Business,14798.19
Dr. MG27 MS8,1948-04-20,Hyderabad,Delhi,2016-03-28,20:20,2016-03-13,Economy,9932.01
Miss FG83 FS25,1994-07-11,Delhi,Chennai,2016-05-27,14:30,2016-04-16,Business,12775.04
Mrs. FG10 FS16,1987-05-08,Lucknow,Kolkata,2016-06-28,07:30,2016-06-02,Business,9590.83
Dr. FG98 FS78,1939-10-22,Chennai,Delhi,2016-08-05,08:40,2016-07-22,Economy,9440.13
Dr. FG45 FS74,1981-07-27,Mumbai,Kolkata,2016-12-17,15:50,2016-10-20,Economy,9163.85
Dr. MG17 MS50,1959-04-15,Hyderabad,Mumbai,2016-05-09,09:00,2016-03-07,Economy,6530.02
Miss FG80 FS85,1993-01-23,Hyderabad,Delhi,2016-01-01,10:10,2015-12-01,Business,12247.0
Miss FG96 FS9,1990-10-24,Patna,Kolkata,2016-09-21,11:00,2016-08-29,Economy,2405.83
Mrs. FG46 FS57,1979-12-06,Lucknow,Mumbai,2016-09-14,05:20,2016-09-03,Economy,4790.27
Dr. MG50 MS91,1962-12-07,Patna,Mumbai,2016-01-23,17:30,2016-01-11,Economy,11967.65
Miss FG47 FS50,1998-10-22,Patna,Lucknow,2016-03-25,05:40,2016-03-19,Economy,2870.24
Dr. FG63 FS18,1973-03-12,Hyderabad,Patna,2016-10-30,19:40,2016-10-25,Business,50263.14
Miss FG85 FS67,1981-02-16,Patna,Hyderabad,2016-08-06,19:30,2016-08-01,Economy,12891.07
Mr. MG0 MS80,1952-11-27,Lucknow,Delhi,2016-01-25,15:40,2016-01-19,Economy,2439.33
Mrs. FG74 FS19,1982-12-31,Kolkata,Hyderabad,2016-07-26,09:40,2016-06-12,Economy,3808.88
Dr. FG97 FS82,1967-11-16,Mumbai,Patna,2016-02-17,06:00,2016-01-05,Business,18400.63
Mrs. FG8 FS19,1949-03-21,Chennai,Mumbai,2016-12-14,11:10,2016-12-01,Business,10136.6
Mr. MG91 MS38,2001-11-01,Hyderabad,Chennai,2016-03-30,15:20,2016-03-18,Economy,2032.8
Miss FG25 FS65,1990-04-27,Hyderabad,Delhi,2016-12-21,07:10,2016-11-15,Economy,4631.98
Dr. FG78 FS94,1937-12-27,Mumbai,Lucknow,2016-10-16,16:20,2016-09-21,Business,19583.61
Miss FG75 FS62,2002-01-07,Delhi,Hyderabad,2016-02-10,16:40,2016-01-24,Economy,5083.5
Dr. MG84 MS17,1968-05-07,Kolkata,Hyderabad,2016-07-29,17:30,2016-07-07,Business,13381.89
Miss FG82 FS71,1984-12-12,Kolkata,Delhi,2016-04-28,03:10,2016-03-25,Economy,2761.82
Dr. MG88 MS43,1945-03-25,Mumbai,Hyderabad,2016-05-02,13:00,2016-04-24,Economy,8033.21
Mr. MG28 MS61,1969-02-21,Chennai,Lucknow,2016-05-13,14:50,2016-04-20,Business,17748.61
Mrs. FG69 FS79,1952-08-18,Delhi,Hyderabad,2016-12-17,12:50,2016-12-05,Economy,8560.74
Mr. MG2 MS32,1996-04-16,Patna,Kolkata,2016-07-05,11:10,2016-07-02,Economy,4229.98
Mr. MG82 MS96,1996-11-10,Mumbai,Hyderabad,2016-10-07,19:20,2016-09-14,Business,10760.39
Dr. MG90 MS94,1966-12-05,Kolkata,Delhi,2016-09-21,16:20,2016-09-17,Business,18044.74
Dr. FG17 FS85,1977-04-17,Kolkata,Mumbai,2016-09-27,13:40,2016-09-04,Economy,6660.13
Dr. FG65 FS37,1978-03-27,Chennai,Mumbai,2016-10-07,11:20,2016-09-27,Economy,8587.75
Dr. MG16 MS22,1959-04-11,Hyderabad,Delhi,2016-08-02,19:20,2016-07-13,Economy,8172.83
Mr. MG51 MS87,2002-04-27,Lucknow,Patna,2016-11-12,19:50,2016-10-30,Economy,3204.63
Miss FG9 FS75,1981-05-06,Patna,Lucknow,2016-08-21,20:10,2016-08-06,Economy,4098.78
Dr. FG27 FS21,1971-03-18,Lucknow,Mumbai,2016-05-03,08:20,2016-04-19,Business,18553.49
Miss FG1 FS45,1990-05-07,Kolkata,Patna,2016-07-07,08:20,2016-06-15,Economy,2636.0
Mr. MG31 MS53,1979-02-28,Lucknow,Mumbai,2016-05-11,06:30,2016-03-12,Economy,4038.72
Dr. MG20 MS24,1938-01-09,Lucknow,Chennai,2016-04-27,16:50,2016-04-07,Economy,9425.37
Mr. MG77 MS70,2000-12-01,Chennai,Mumbai,2016-01-17,23:50,2015-12-25,Business,12724.66
Dr. MG29 MS80,1947-08-25,Mumbai,Chennai,2016-03-10,06:40,2016-02-22,Economy,5811.28
Mrs. FG39 FS13,1975-12-30,Delhi,Mumbai,2016-04-24,20:40,2016-04-07,Business,15501.88
Mr. MG19 MS26,1979-10-05,Lucknow,Delhi,2016-07-27,12:50,2016-07-16,Economy,2556.12
Mr. MG4 MS5,2001-02-14,Patna,Kolkata,2016-07-07,05:40,2016-06-16,Business,6525.16
Mrs. FG50 FS99,1976-05-18,Mumbai,Lucknow,2016-10-02,10:50,2016-09-02,Economy,6577.83
Dr. FG91 FS49,1935-05-15,Lucknow,Delhi,2016-12-23,10:40,2016-12-11,Business,8082.52
Dr. MG96 MS60,1936-06-25,Mumbai,Patna,2016-02-15,18:20,2016-01-28,Economy,6700.53
Mr. MG62 MS87,2005-12-12,Patna,Chennai,2016-07-16,10:10,2016-07-13,Economy,17873.13
Mrs. FG9 FS29,1975-02-18,Delhi,Mumbai,2016-07-04,11:50,2016-06-07,Economy,3280.04
Mrs. FG77 FS4,1976-02-06,Kolkata,Chennai,2016-03-22,20:20,2016-02-28,Economy,5230.61
Miss FG64 FS48,1999-05-10,Mumbai,Delhi,2016-03-03,17:00,2016-02-18,Business,7256.08
Mr. MG14 MS42,1999-12-23,Mumbai,Patna,2016-06-11,20:20,2016-04-09,Business,18598.18
Dr. MG81 MS71,1957-09-25,Mumbai,Hyderabad,2016-04-19,15:00,2016-04-13,Business,22203.82
Mr. MG47 MS32,1963-10-12,Chennai,Kolkata,2016-05-29,14:10,2016-05-26,Economy,9276.91
Mr. MG56 MS60,1947-05-27,Delhi,Patna,2016-05-20,23:30,2016-04-08,Economy,2388.79
Mr. MG30 MS70,1975-09-10,Mumbai,Chennai,2016-02-14,00:30,2016-02-03,Economy,7989.91
Dr. FG0 FS57,1939-02-24,Delhi,Chennai,2016-05-10,03:40,2016-05-03,Business,28255.13
Dr. FG65 FS73,1942-08-16,Mumbai,Chennai,2016-11-23,10:50,2016-11-23,Economy,11084.16
Dr. MG30 MS19,1947-03-12,Kolkata,Patna,2016-03-15,10:30,2016-03-02,Economy,4826.14
Mrs. FG61 FS29,1957-06-18,Kolkata,Mumbai,2016-05-18,15:10,2016-05-17,Economy,6675.7
Dr. MG53 MS26,1969-02-15,Delhi,Chennai,2016-01-05,12:00,2016-01-02,Economy,15739.45
Mr. MG9 MS78,1990-05-05,Delhi,Lucknow,2016-05-14,17:40,2016-04-15,Economy,2955.75
Dr. FG14 FS41,1944-12-14,Delhi,Kolkata,2016-02-11,22:50,2016-02-06,Business,15598.27
Mrs. FG34 FS69,1940-05-08,Delhi,Mumbai,2016-12-15,11:40,2016-12-07,Economy,3569.29
Dr. FG73 FS76,1961-10-16,Hyderabad,Mumbai,2016-04-21,12:00,2016-03-04,Economy,5824.72
Dr. FG25 FS2,1972-07-23,Lucknow,Chennai,2016-03-18,18:40,2016-02-26,Economy,11163.68
Dr. FG54 FS83,1938-08-02,Delhi,Lucknow,2016-07-10,23:30,2016-05-30,Economy,3914.52
Dr. MG17 MS13,1976-02-12,Lucknow,Mumbai,2016-09-16,10:00,2016-09-13,Business,29152.48
Dr. FG22 FS5,1974-05-10,Delhi,Mumbai,2016-12-22,19:50,2016-12-04,Business,13977.22
Mrs. FG6 FS70,1953-11-04,Hyderabad,Patna,2016-10-01,16:00,2016-09-10,Economy,6750.84
Mr. MG68 MS0,1970-08-30,Chennai,Delhi,2016-09-17,20:40,2016-08-16,Economy,10891.75
Mr. MG42 MS0,1967-04-10,Mumbai,Chennai,2016-08-14,12:00,2016-08-08,Economy,8661.26
Dr. MG88 MS9,1935-04-18,Kolkata,Mumbai,2016-03-09,14:50,2016-02-25,Economy,6117.88
Dr. MG22 MS73,1967-12-06,Patna,Mumbai,2016-08-18,19:20,2016-07-12,Economy,7638.99
Mr. MG51 MS24,1985-01-27,Kolkata,Mumbai,2016-03-12,11:20,2016-02-20,Economy,5806.7
Miss FG68 FS36,1995-05-10,Mumbai,Lucknow,2016-02-11,12:20,2015-12-30,Business,8717.92
Mr. MG44 MS2,1946-05-03,Mumbai,Chennai,2016-11-28,12:30,2016-10-29,Business,8356.15
Dr. FG75 FS32,1952-09-03,Delhi,Mumbai,2016-07-30,02:40,2016-07-26,Economy,9490.75
Dr. FG11 FS10,1950-05-15,Chennai,Lucknow,2016-01-04,06:40,2015-12-03,Economy,9155.55
Dr. FG6 FS18,1942-12-21,Kolkata,Hyderabad,2016-10-19,19:20,2016-09-18,Business,12209.32
Mr. MG11 MS45,1985-09-15,Lucknow,Kolkata,2016-12-28,13:10,2016-12-10,Business,10108.02
Dr. MG72 MS49,1972-12-25,Delhi,Chennai,2016-04-01,03:50,2016-03-04,Economy,9893.57
Dr. MG88 MS92,1947-08-01,Mumbai,Hyderabad,2016-02-14,20:00,2016-01-17,Economy,10502.11
Mr. MG62 MS29,1954-01-17,Lucknow,Kolkata,2016-01-28,08:40,2016-01-18,Economy,4365.03
Dr. MG56 MS4,1970-12-25,Delhi,Chennai,2016-05-05,05:00,2016-04-30,Economy,14651.3
Dr. MG53 MS48,1975-11-29,Delhi,Mumbai,2016-12-19,23:30,2016-11-19,Economy,4770.23
Mr. MG1 MS79,1948-10-28,Delhi,Patna,2016-11-19,18:20,2016-10-20,Economy,3548.05
Dr. FG8 FS91,1944-12-31,Chennai,Lucknow,2016-12-11,08:10,2016-11-22,Economy,14985.66
Dr. MG74 MS81,1971-08-26,Delhi,Kolkata,2016-01-01,13:50,2015-12-20,Business,14382.89
Dr. MG22 MS37,1951-09-05,Kolkata,Delhi,2016-02-01,16:50,2015-12-18,Economy,4216.59
Mr. MG32 MS61,1991-07-09,Mumbai,Patna,2016-05-10,12:30,2016-05-03,Economy,6287.75
Dr. MG21 MS22,1983-12-27,Hyderabad,Patna,2016-07-05,20:50,2016-05-23,Business,22217.05
Dr. FG50 FS88,1977-03-05,Delhi,Lucknow,2016-02-02,00:00,2016-01-06,Economy,3317.07
Mr. MG20 MS46,1973-04-24,Lucknow,Kolkata,2016-01-14,19:10,2015-12-21,Economy,4648.55
Mrs. FG82 FS35,1985-09-10,Kolkata,Delhi,2016-07-29,10:20,2016-07-18,Economy,3159.25
Dr. MG5 MS47,1957-01-25,Mumbai,Kolkata,2016-01-19,09:20,2015-12-28,Business,14964.43
Miss FG89 FS56,2003-03-24,Lucknow,Delhi,2016-02-08,13:00,2016-01-16,Economy,2063.67
Mr. MG50 MS61,1976-11-23,Lucknow,Patna,2016-12-21,18:40,2016-11-18,Economy,2337.92
Mr. MG87 MS48,1955-04-15,Patna,Chennai,2016-07-31,20:20,2016-07-15,Economy,13641.09
Mr. MG33 MS66,1958-07-22,Chennai,Mumbai,2016-04-09,08:30,2016-03-14,Economy,5569.63
Mr. MG12 MS23,1995-12-11,Kolkata,Patna,2016-05-08,11:30,2016-04-25,Business,11236.09
Dr. FG96 FS87,1983-06-10,Kolkata,Mumbai,2016-12-16,17:10,2016-11-24,Economy,6276.25
Mrs. FG29 FS45,1944-09-29,Lucknow,Kolkata,2016-01-10,02:40,2015-11-10,Business,13025.82
Miss FG51 FS92,2000-12-03,Patna,Lucknow,2016-11-02,11:00,2016-09-20,Economy,2109.92
Dr. MG37 MS40,1969-11-30,Delhi,Lucknow,2016-09-09,14:20,2016-09-03,Business,11253.31
Mr. MG71 MS38,1988-04-09,Lucknow,Kolkata,2016-10-01,07:50,2016-08-03,Business,13653.36
Dr. MG26 MS0,1962-01-12,Lucknow,Hyderabad,2016-04-10,23:30,2016-03-11,Business,25293.62
Mr. MG69 MS5,1965-01-06,Mumbai,Hyderabad,2016-10-11,20:20,2016-09-14,Economy,4937.0
Mr. MG68 MS55,1966-09-12,Delhi,Patna,2016-05-17,18:50,2016-04-12,Economy,2681.72
Dr. FG32 FS61,1961-08-15,Patna,Mumbai,2016-08-03,12:10,2016-06-10,Economy,6352.57
Dr. MG26 MS36,1936-07-28,Lucknow,Hyderabad,2016-02-23,09:50,2016-02-04,Economy,7643.63
Dr. MG83 MS69,1943-04-22,Delhi,Hyderabad,2016-09-22,00:10,2016-08-30,Economy,7516.76
Miss FG99 FS35,1980-09-17,Hyderabad,Delhi,2016-02-21,00:30,2016-02-19,Economy,14816.51
Dr. FG36 FS80,1977-03-13,Lucknow,Delhi,2016-04-08,22:10,2016-03-26,Economy,3738.97
Miss FG94 FS58,1980-10-25,Hyderabad,Delhi,2016-03-05,17:10,2016-03-03,Economy,15285.38
Dr. MG33 MS38,1972-10-23,Chennai,Delhi,2016-09-05,09:30,2016-08-23,Economy,12528.49
Mr. MG39 MS36,1970-01-16,Lucknow,Chennai,2016-01-02,15:10,2015-12-20,Business,30952.39
Dr. FG27 FS3,1957-11-10,Delhi,Lucknow,2016-09-14,18:20,2016-09-13,Economy,4765.07
Mrs. FG53 FS90,1989-05-04,Hyderabad,Patna,2016-02-26,22:50,2016-02-25,Business,20985.99
Mrs. FG79 FS46,1974-03-17,Kolkata,Lucknow,2016-09-03,09:00,2016-08-08,Economy,6797.17
Miss FG74 FS59,1992-01-07,Hyderabad,Delhi,2016-06-17,18:00,2016-06-02,Economy,5800.06
Miss FG10 FS17,1996-07-01,Lucknow,Chennai,2016-03-08,19:50,2016-01-11,Business,15710.1
Mr. MG7 MS92,1998-04-18,Delhi,Mumbai,2016-01-01,22:00,2015-11-24,Economy,2540.67
Dr. FG82 FS46,1948-11-11,Patna,Mumbai,2016-08-21,11:50,2016-08-10,Business,29997.92
Dr. MG47 MS36,1976-03-19,Kolkata,Delhi,2016-01-21,08:10,2015-12-13,Business,12432.78
Dr. MG34 MS98,1978-04-26,Hyderabad,Delhi,2016-03-20,02:50,2016-02-28,Business,34284.09
Mr. MG40 MS76,1968-06-16,Delhi,Lucknow,2016-11-21,03:00,2016-10-22,Economy,2074.11
Dr. MG90 MS80,1957-08-09,Mumbai,Lucknow,2016-03-16,12:40,2016-02-28,Economy,5428.89
Mr. MG31 MS78,1959-11-04,Delhi,Lucknow,2016-02-24,16:10,2016-02-02,Business,4665.4
Dr. MG76 MS33,1961-08-16,Patna,Delhi,2016-03-16,10:10,2016-02-28,Business,11564.94
Dr. MG98 MS22,1973-03-10,Mumbai,Delhi,2016-01-01,12:50,2015-12-21,Economy,5813.07
Dr. MG61 MS43,1967-08-06,Hyderabad,Lucknow,2016-02-20,12:50,2016-02-03,Business,30124.68
Dr. FG21 FS97,1967-02-21,Delhi,Lucknow,2016-05-03,12:30,2016-03-29,Economy,2841.81
Dr. MG51 MS10,1936-04-01,Kolkata,Mumbai,2016-09-18,13:10,2016-08-14,Economy,8066.52
Dr. MG23 MS53,1983-05-21,Mumbai,Patna,2016-01-09,15:10,2015-12-23,Business,30104.62
Dr. MG74 MS50,1936-10-21,Mumbai,Lucknow,2016-01-02,15:40,2015-12-11,Economy,8050.0
Dr. FG54 FS31,1941-08-01,Patna,Lucknow,2016-03-22,09:50,2016-03-07,Economy,3119.19
Mr. MG66 MS18,1955-06-21,Delhi,Patna,2016-01-30,09:20,2016-01-15,Economy,4464.22
Dr. FG63 FS96,1982-04-14,Kolkata,Chennai,2016-07-05,13:40,2016-06-13,Economy,6137.24
Mr. MG7 MS39,2003-02-28,Delhi,Kolkata,2016-10-13,06:10,2016-09-19,Economy,2415.46
Dr. MG82 MS33,1948-02-15,Kolkata,Delhi,2016-02-23,10:00,2016-02-08,Economy,4788.44
Dr. FG56 FS66,1968-07-22,Mumbai,Patna,2016-06-10,08:50,2016-05-30,Economy,9609.96
Mr. MG32 MS13,1947-11-22,Chennai,Hyderabad,2016-06-21,23:50,2016-06-11,Economy,2446.51
Dr. MG81 MS32,1979-07-19,Lucknow,Delhi,2016-06-22,20:30,2016-06-05,Economy,3802.61
Miss FG33 FS50,1990-05-25,Delhi,Kolkata,2016-02-05,17:10,2016-02-05,Economy,5280.07
Mrs. FG57 FS87,1987-08-10,Delhi,Chennai,2016-03-16,15:40,2016-02-14,Business,13801.61
Dr. FG19 FS58,1976-12-21,Mumbai,Kolkata,2016-10-30,10:50,2016-10-25,Business,39796.1
Mr. MG99 MS8,1948-12-13,Patna,Lucknow,2016-03-16,20:40,2016-03-10,Economy,2961.11
Miss FG94 FS40,2003-04-02,Lucknow,Mumbai,2016-06-16,04:10,2016-06-13,Economy,5967.68
Mr. MG62 MS87,1963-09-17,Delhi,Patna,2016-01-19,16:20,2016-01-01,Economy,2841.0
Dr. MG65 MS53,1962-07-06,Delhi,Chennai,2016-06-11,11:00,2016-04-26,Economy,12240.53
Mr. MG58 MS54,1977-03-26,Kolkata,Hyderabad,2016-02-08,12:10,2016-02-08,Economy,7085.47
Dr. FG65 FS90,1980-04-23,Delhi,Chennai,2016-06-11,22:10,2016-06-01,Economy,18069.16
Miss FG52 FS19,1988-02-19,Mumbai,Delhi,2016-01-17,20:50,2015-12-08,Business,11547.65
Mr. MG21 MS17,1976-12-13,Delhi,Kolkata,2016-12-27,20:30,2016-11-26,Economy,3884.93
Mr. MG67 MS62,2004-11-17,Hyderabad,Patna,2016-11-28,18:50,2016-11-22,Economy,6214.2
Dr. MG6 MS98,1955-12-03,Mumbai,Delhi,2016-07-29,05:50,2016-05-27,Economy,4030.87
Dr. MG34 MS70,1979-06-30,Kolkata,Mumbai,2016-02-16,00:30,2016-02-02,Economy,6552.29
Dr. FG13 FS42,1977-10-01,Kolkata,Mumbai,2016-11-20,17:40,2016-11-11,Economy,12841.21
Dr. FG1 FS23,1940-05-03,Mumbai,Lucknow,2016-09-26,14:20,2016-09-26,Economy,10447.59
Mr. MG3 MS84,1957-04-22,Chennai,Kolkata,2016-06-20,08:20,2016-06-10,Economy,4616.26
Miss FG19 FS98,1990-01-21,Delhi,Lucknow,2016-08-11,18:30,2016-07-26,Economy,1735.09
Mr. MG11 MS29,1988-07-01,Mumbai,Lucknow,2016-05-29,06:00,2016-04-20,Economy,5538.03
Miss FG13 FS38,1983-09-01,Mumbai,Hyderabad,2016-08-30,05:40,2016-07-13,Economy,4546.32
Mr. MG42 MS48,1996-10-31,Chennai,Patna,2016-02-19,09:50,2016-02-07,Economy,9102.77
Dr. MG26 MS7,1943-05-08,Kolkata,Mumbai,2016-10-19,09:10,2016-10-17,Economy,10628.56
Mr. MG71 MS54,1979-07-07,Lucknow,Mumbai,2016-10-16,14:50,2016-09-16,Economy,6584.45
Dr. MG0 MS89,1936-11-16,Hyderabad,Delhi,2016-01-04,19:00,2015-11-11,Economy,7665.96
Mr. MG44 MS99,1952-03-30,Patna,Lucknow,2016-04-17,14:50,2016-04-10,Economy,3638.58
Miss FG83 FS54,2005-06-16,Hyderabad,Patna,2016-11-25,08:00,2016-10-31,Economy,4191.32
Mrs. FG55 FS94,1965-09-28,Kolkata,Patna,2016-12-28,16:00,2016-11-28,Economy,2577.69
Mrs. FG43 FS83,1957-11-24,Mumbai,Chennai,2016-05-17,18:50,2016-04-17,Economy,3471.59
Miss FG80 FS21,1997-01-19,Patna,Mumbai,2016-09-10,13:50,2016-08-14,Economy,6284.4
Mrs. FG88 FS33,1978-09-25,Kolkata,Lucknow,2016-12-11,13:20,2016-10-23,Business,15765.76
Mr. MG72 MS9,1961-12-03,Hyderabad,Patna,2016-07-04,05:30,2016-06-20,Economy,5056.35
Miss FG51 FS97,1994-05-21,Hyderabad,Delhi,2016-10-25,21:00,2016-10-16,Economy,6713.84
Dr. MG74 MS52,1985-03-26,Mumbai,Hyderabad,2016-05-26,00:40,2016-05-17,Economy,8579.26
Mr. MG55 MS34,1980-12-06,Chennai,Delhi,2016-05-25,06:30,2016-05-15,Economy,7518.89
Dr. MG61 MS26,1938-04-21,Patna,Chennai,2016-07-17,20:40,2016-06-10,Economy,18596.73
Dr. FG39 FS55,1952-04-11,Patna,Delhi,2016-02-01,19:00,2016-01-03,Economy,4369.3
Mrs. FG32 FS8,1965-07-20,Lucknow,Delhi,2016-09-28,20:10,2016-09-06,Economy,2151.47
Miss FG70 FS10,1982-09-04,Chennai,Lucknow,2016-08-02,18:30,2016-08-02,Economy,13348.14
Dr. MG30 MS35,1985-08-28,Hyderabad,Kolkata,2016-11-13,10:20,2016-11-09,Economy,13124.28
Mr. MG57 MS97,1947-08-17,Mumbai,Delhi,2016-03-24,09:30,2016-03-20,Business,11509.16
Dr. MG65 MS93,1938-02-10,Mumbai,Delhi,2016-03-15,06:20,2016-02-21,Business,10383.48
Mrs. FG13 FS59,1986-06-19,Patna,Mumbai,2016-07-22,15:30,2016-06-05,Business,11298.49
Dr. FG81 FS50,1961-02-19,Patna,Delhi,2016-07-29,23:10,2016-07-20,Economy,5403.72
Mr. MG78 MS5,1986-04-27,Hyderabad,Patna,2016-09-28,18:50,2016-09-08,Economy,4947.27
Mrs. FG68 FS44,1975-11-14,Lucknow,Delhi,2016-01-20,17:40,2015-12-21,Economy,2062.73
Mrs. FG98 FS97,1956-05-11,Chennai,Lucknow,2016-09-28,14:50,2016-08-07,Economy,5773.42
Dr. FG99 FS74,1935-11-23,Patna,Lucknow,2016-12-24,03:40,2016-12-08,Economy,4262.02
Dr. MG58 MS99,1982-10-11,Delhi,Chennai,2016-09-11,11:00,2016-08-23,Economy,14314.13
Mr. MG0 MS96,1988-11-15,Delhi,Lucknow,2016-12-17,06:20,2016-11-20,Economy,2595.27
Miss FG43 FS59,1980-06-26,Lucknow,Delhi,2016-08-12,01:10,2016-08-04,Economy,3247.33
Dr. MG49 MS22,1956-07-14,Lucknow,Patna,2016-09-19,15:10,2016-09-19,Business,13166.86
Dr. FG3 FS69,1955-12-02,Hyderabad,Delhi,2016-05-29,20:30,2016-04-07,Business,32008.56
Mrs. FG61 FS55,1961-06-23,Hyderabad,Lucknow,2016-01-19,05:10,2015-12-08,Economy,4394.65
Mr. MG91 MS11,1990-03-07,Delhi,Kolkata,2016-01-20,18:20,2016-01-09,Economy,2850.75
Mrs. FG84 FS8,1986-11-26,Patna,Lucknow,2016-10-10,18:30,2016-09-15,Economy,1866.41
Dr. FG73 FS12,1950-12-03,Kolkata,Mumbai,2016-12-27,11:10,2016-12-18,Economy,7026.88
Mr. MG30 MS56,1946-04-21,Mumbai,Chennai,2016-07-11,14:00,2016-06-10,Economy,3044.93
Mr. MG39 MS61,1987-09-06,Delhi,Mumbai,2016-03-25,08:00,2016-03-02,Business,7271.01
Mr. MG60 MS1,1974-06-09,Hyderabad,Mumbai,2016-11-05,09:20,2016-10-15,Economy,8023.89
Miss FG31 FS47,1986-05-20,Mumbai,Chennai,2016-12-09,12:50,2016-11-15,Economy,3907.87
Dr. MG52 MS25,1951-09-16,Delhi,Lucknow,2016-09-04,13:50,2016-07-19,Business,10002.8
Dr. MG41 MS13,1983-04-12,Kolkata,Chennai,2016-01-31,18:40,2016-01-09,Business,22967.03
Dr. MG18 MS34,1958-10-12,Lucknow,Hyderabad,2016-01-23,12:20,2015-12-17,Economy,9522.3
Mr. MG4 MS21,1982-07-14,Chennai,Lucknow,2016-10-06,09:10,2016-08-30,Economy,7714.19
Miss FG4 FS28,1998-06-20,Hyderabad,Patna,2016-05-18,19:00,2016-04-28,Economy,4634.92
Dr. MG91 MS74,1985-03-10,Lucknow,Hyderabad,2016-01-14,14:50,2015-12-02,Economy,7146.85
Mrs. FG60 FS61,1975-03-30,Lucknow,Patna,2016-12-23,20:30,2016-12-13,Economy,3260.14
Mr. MG44 MS33,1970-05-30,Lucknow,Mumbai,2016-02-20,08:40,2016-02-10,Economy,7766.78
Mr. MG66 MS69,1948-11-14,Kolkata,Mumbai,2016-10-25,20:30,2016-09-18,Economy,4090.74
Mrs. FG28 FS46,1986-02-25,Patna,Delhi,2016-09-06,15:40,2016-08-20,Economy,2840.54
Mrs. FG58 FS75,1966-02-27,Patna,Chennai,2016-12-29,15:30,2016-11-15,Economy,7773.78
Dr. MG85 MS29,1943-09-02,Lucknow,Mumbai,2016-05-05,05:40,2016-04-23,Economy,6717.74
Dr. MG61 MS43,1981-01-15,Patna,Mumbai,2016-02-10,11:30,2016-01-20,Economy,7834.22
Dr. MG59 MS40,1944-03-28,Patna,Kolkata,2016-07-30,15:40,2016-07-28,Economy,10874.1
Dr. MG5 MS95,1953-08-12,Hyderabad,Mumbai,2016-03-04,00:50,2016-03-02,Business,26709.64
Mr. MG79 MS21,1963-10-31,Lucknow,Kolkata,2016-03-30,08:10,2016-03-23,Economy,5596.71
Mrs. FG34 FS21,1945-07-10,Mumbai,Hyderabad,2016-05-01,15:10,2016-03-14,Economy,5917.88
Dr. MG29 MS90,1963-05-01,Mumbai,Patna,2016-08-30,14:00,2016-08-18,Economy,8297.16
Mr. MG73 MS26,1983-11-07,Lucknow,Mumbai,2016-12-19,20:10,2016-12-02,Economy,5323.36
Miss FG39 FS87,1992-07-28,Delhi,Patna,2016-10-22,19:50,2016-10-21,Business,19715.27
Dr. MG92 MS34,1942-01-23,Chennai,Lucknow,2016-06-24,15:50,2016-05-19,Economy,9196.95
Dr. FG80 FS36,1943-07-02,Delhi,Patna,2016-06-19,19:30,2016-06-11,Business,21340.78
Mrs. FG73 FS26,1959-02-09,Hyderabad,Lucknow,2016-04-18,15:40,2016-02-20,Economy,4239.53
Dr. MG91 MS89,1954-12-19,Lucknow,Mumbai,2016-09-27,17:40,2016-08-11,Economy,5103.35
Dr. MG16 MS82,1955-06-03,Lucknow,Delhi,2016-04-02,13:40,2016-03-18,Economy,4491.05
Dr. FG9 FS17,1972-11-21,Patna,Hyderabad,2016-10-10,05:30,2016-09-25,Economy,8696.82
Dr. MG44 MS64,1982-09-09,Delhi,Kolkata,2016-09-19,18:20,2016-08-30,Economy,4956.92
Miss FG3 FS2,1998-12-22,Kolkata,Mumbai,2016-03-24,19:00,2016-03-11,Business,10777.28
Dr. FG76 FS99,1956-12-06,Lucknow,Delhi,2016-05-24,06:40,2016-04-27,Economy,2769.99
Mr. MG29 MS61,1978-04-08,Mumbai,Chennai,2016-10-02,18:00,2016-09-30,Economy,11628.36
Dr. MG51 MS30,1936-05-23,Hyderabad,Patna,2016-04-03,13:30,2016-03-30,Economy,16132.76
Dr. MG14 MS69,1967-03-22,Lucknow,Hyderabad,2016-07-01,20:50,2016-06-06,Economy,9025.33
Dr. MG11 MS36,1953-07-17,Delhi,Mumbai,2016-06-13,17:30,2016-05-24,Economy,3977.26
Miss FG59 FS77,2003-06-09,Delhi,Kolkata,2016-11-27,18:30,2016-11-06,Economy,4298.66
Miss FG55 FS61,1991-06-01,Hyderabad,Kolkata,2016-05-23,06:30,2016-04-27,Business,7844.08
Dr. MG62 MS57,1976-10-30,Patna,Mumbai,2016-05-31,17:50,2016-05-07,Economy,8423.18
Miss FG17 FS26,1988-10-05,Patna,Delhi,2016-10-30,14:30,2016-10-29,Economy,7839.32
